site_name,site_id,lat,long,prediction
"        Snipe Keys, southeast end, Inner Narrows",8724409,24.6583,-81.6083,Subordinate
"        Snipe Keys, Middle Narrows",8724427,24.6667,-81.63,Subordinate
"        Snipe Keys, Snipe Point",8724463,24.6917,-81.6733,Subordinate
"        Waltz Key, Waltz Key Basin",8724448,24.6467,-81.6533,Subordinate
"        Duck Key Point, Duck Key, Waltz Key Basin",8724474,24.6233,-81.685,Subordinate
"        O'Hara Key, north end, Waltz Key Basin",8724441,24.6167,-81.645,Subordinate
"        Saddlebunch Keys, Channel No. 5",8724423,24.6117,-81.6233,Subordinate
"        Saddlebunch Keys, Channel No. 4",8724417,24.615,-81.6167,Subordinate
"        Saddlebunch Keys, Channel No. 3",8724405,24.6233,-81.6033,Subordinate
"        Bird Key, Similar Sound",8724436,24.5883,-81.6383,Subordinate
"        Shark Key, southeast end, Similar Sound",8724438,24.6033,-81.645,Subordinate
"        Saddlebunch Keys, Similar Sound",8724422,24.6,-81.6217,Subordinate
"        Big Coppitt Key, northeast side, Waltz Key Basin",8724489,24.6017,-81.655,Subordinate
"        Rockland Key, Rockland Channel Bridge",8724459,24.5917,-81.67,Subordinate
"        Boca Chica Key, Long Point",8724485,24.6033,-81.6983,Subordinate
"        Channel Key, west side",8724507,24.6033,-81.725,Subordinate
        Boca Chica Marina,8724493,24.575,-81.7083,Harmonic
"        Boca Chica Key, Southwest end",8724499,24.5633,-81.7133,Subordinate
        Boca Chica Channel Bridge,8724503,24.5767,-81.7217,Subordinate
        Key Haven - Stock Island Channel,8724517,24.58,-81.7383,Subordinate
        Cow Key Channel,8724527,24.57,-81.75,Subordinate
"        Sigsbee Park, Garrison Bight Channel",8724542,24.585,-81.775,Subordinate
"        Fleming Key, north end",8724571,24.5917,-81.795,Harmonic
"        Riveria Canal, Key West",8724529,24.565,-81.7517,Subordinate
"        Key West, south side, White Street Pier",8724557,24.545,-81.7833,Subordinate
        KEY WEST,8724580,24.5557,-81.8079,Harmonic
"        Sand Key Lighthouse, Sand Key Channel",8724635,24.4533,-81.8783,Harmonic
"        Garden Key, Dry Tortugas",8724697,24.6267,-82.8717,Subordinate
"        Loggerhead Key, Dry Tortugas",8724698,24.6317,-82.92,Harmonic
        Smith Shoal Light,8724671,24.7183,-81.9215,Harmonic
